candidate_id,created_at,location,years_experience,education_level,primary_role_family,work_authorization
C-my91otk,2025-04-15,"Chicago, IL",2,Masters,Finance,Other/Unknown
C-dl25b7k,2025-03-17,"Chicago, IL",4,Masters,Supply Chain,F-1 OPT
C-pr6h2hx,2025-07-01,"Palo Alto, CA",5,Associate,Data Analytics,F-1 OPT
C-n9ygcmr,2024-10-29,"Austin, TX",6,Bachelors,Supply Chain,H-1B
C-v8wobir,2024-11-06,"Chicago, IL",1,Associate,Software Engineering,Other/Unknown
C-19ydq3n,2025-09-24,"Chicago, IL",5,Bootcamp,Operations,US Citizen/PR
C-ecrysau,2024-02-24,"Seattle, WA",2,Bootcamp,Operations,US Citizen/PR
C-2grxpud,2025-10-09,"Austin, TX",9,Associate,Software Engineering,Other/Unknown
C-3aut3rs,2025-05-29,"Seattle, WA",0,Associate,Finance,US Citizen/PR
C-1hxe5za,2025-05-31,"New York, NY",3,PhD,Data Analytics,US Citizen/PR
C-ehfu4b9,2024-09-04,"Seattle, WA",9,PhD,Operations,F-1 OPT
C-p8ak8s2,2024-05-28,"Chicago, IL",5,Associate,Sales,F-1 OPT
C-uzs9mth,2024-03-24,"Austin, TX",2,Bachelors,Software Engineering,US Citizen/PR
C-gk38vhm,2026-01-12,"Fremont, CA",5,Associate,Sales,US Citizen/PR
C-tjxfq8y,2024-06-09,"Chicago, IL",5,Masters,Supply Chain,F-1 OPT
C-c09zgnx,2025-05-14,"Remote, US",14,Associate,Supply Chain,F-1 OPT
C-pf9pavc,2026-01-07,"Austin, TX",2,Associate,Data Analytics,Other/Unknown
C-cxnmj5i,2024-12-26,"Austin, TX",0,Bachelors,Sales,F-1 OPT
C-nd7g0l3,2024-12-06,"New York, NY",0,Bachelors,Supply Chain,H-1B
C-z5tv6g8,2025-03-24,"New York, NY",2,Masters,Operations,Other/Unknown
C-reasfen,2024-06-28,"Chicago, IL",5,PhD,Data Analytics,H-1B
C-zivzg92,2025-04-10,"Seattle, WA",4,PhD,Operations,Other/Unknown
C-sz7iwdl,2024-11-06,"Remote, US",6,PhD,HR,US Citizen/PR
C-wcidudk,2024-05-22,"New York, NY",2,Bachelors,Sales,F-1 OPT
C-rs95zow,2024-12-07,"Remote, US",0,Bachelors,Finance,Other/Unknown
C-z0i0835,2024-01-12,"Seattle, WA",9,Associate,Data Analytics,Other/Unknown
C-8y5sic4,2024-08-26,"Seattle, WA",8,PhD,Data Analytics,Other/Unknown
C-rg8my34,2025-03-04,"Remote, US",0,Bachelors,Operations,H-1B
C-rjawo77,2024-06-06,"Chicago, IL",7,Associate,HR,US Citizen/PR
C-764caqk,2025-06-09,"Austin, TX",7,Bachelors,Operations,F-1 OPT
C-oapht6o,2024-03-13,"New York, NY",3,Bachelors,Software Engineering,H-1B
C-iokpg3d,2024-07-24,"New York, NY",2,Bootcamp,Software Engineering,F-1 OPT
C-mpm5hgb,2024-09-22,"New York, NY",4,Bootcamp,Finance,H-1B
C-6fhrxjp,2024-10-15,"Seattle, WA",5,Bootcamp,HR,F-1 OPT
C-l15s74n,2024-06-12,"Austin, TX",0,Bachelors,HR,US Citizen/PR
C-emayb3p,2024-12-01,"Seattle, WA",6,Bachelors,Sales,Other/Unknown
C-kr1ifsi,2024-08-25,"Remote, US",5,Bachelors,HR,H-1B
C-9i3hz3z,2024-01-25,"Seattle, WA",0,Associate,Software Engineering,F-1 OPT
C-9vwieb9,2025-10-14,"Fremont, CA",2,Bootcamp,Data Analytics,F-1 OPT
C-dbolwim,2025-06-20,"New York, NY",4,Bachelors,Supply Chain,Other/Unknown
C-xkjkmpl,2024-03-19,"Austin, TX",5,Masters,Data Analytics,US Citizen/PR
C-b0hq6dg,2024-05-07,"New York, NY",7,PhD,Operations,H-1B
C-eyy1em3,2025-08-30,"Chicago, IL",7,Associate,Supply Chain,H-1B
C-ijvddwv,2025-06-15,"Austin, TX",5,Associate,Finance,F-1 OPT
C-gqd7wkr,2025-10-19,"Remote, US",7,Masters,Supply Chain,F-1 OPT
C-bgtj546,2025-11-02,"Palo Alto, CA",3,PhD,Sales,US Citizen/PR
C-6cp7sav,2024-02-12,"Chicago, IL",11,Masters,Operations,US Citizen/PR
C-8c9g3rt,2025-04-11,"Seattle, WA",9,Bachelors,Software Engineering,Other/Unknown
C-1n2ojgf,2024-10-13,"Fremont, CA",2,Associate,Finance,US Citizen/PR
C-52qzskh,2025-11-20,"Chicago, IL",4,PhD,Supply Chain,US Citizen/PR
C-gbibf57,2024-09-09,"Palo Alto, CA",0,Bachelors,Finance,F-1 OPT
C-9hexw8l,2024-03-23,"Chicago, IL",8,Associate,Operations,F-1 OPT
C-owlc33h,2024-04-08,"Palo Alto, CA",1,Masters,Operations,US Citizen/PR
C-t922d0n,2025-02-03,"Chicago, IL",2,PhD,HR,F-1 OPT
C-3hju31f,2025-08-31,"Fremont, CA",5,Bootcamp,Operations,F-1 OPT
C-6dgg5gr,2024-04-10,"Chicago, IL",5,Masters,Finance,H-1B
C-afgovcc,2024-12-24,"Fremont, CA",2,Bootcamp,Finance,Other/Unknown
C-ds03vna,2025-02-23,"Remote, US",2,Bachelors,HR,US Citizen/PR
C-e1j7v2a,2024-05-03,"Remote, US",6,Bachelors,Supply Chain,H-1B
C-4df163l,2025-04-29,"New York, NY",7,Masters,Software Engineering,US Citizen/PR
C-tjtabtd,2025-09-19,"Remote, US",11,Bootcamp,Software Engineering,US Citizen/PR
C-6apfxi5,2025-04-27,"New York, NY",0,Bachelors,Sales,F-1 OPT
C-9i8kcmm,2025-06-02,"Austin, TX",0,Bachelors,Supply Chain,F-1 OPT
C-gtvyfyk,2025-03-30,"Remote, US",15,PhD,Operations,US Citizen/PR
C-jrnj622,2026-01-10,"Remote, US",6,Masters,HR,F-1 OPT
C-loz2rcu,2024-07-01,"Chicago, IL",4,PhD,Software Engineering,US Citizen/PR
C-le1mrr9,2025-01-20,"Seattle, WA",4,PhD,Software Engineering,F-1 OPT
C-nttrtid,2026-01-11,"Chicago, IL",0,Bootcamp,Supply Chain,F-1 OPT
C-zia9au8,2025-08-13,"Austin, TX",11,Bachelors,Operations,H-1B
C-453kf48,2025-02-26,"New York, NY",8,Masters,Software Engineering,F-1 OPT
C-ce8zna8,2024-03-05,"Palo Alto, CA",8,Bachelors,Finance,US Citizen/PR
C-xc45bnc,2025-05-07,"Austin, TX",3,Bachelors,Supply Chain,Other/Unknown
C-fg00zko,2024-07-31,"Palo Alto, CA",4,Bootcamp,HR,US Citizen/PR
C-kf5b1sa,2025-05-11,"Remote, US",3,Bootcamp,Finance,Other/Unknown
C-t37szpf,2025-11-30,"Austin, TX",4,Associate,Sales,F-1 OPT
C-0oco39v,2024-07-01,"Austin, TX",13,Bootcamp,Sales,H-1B
C-xonbnpj,2025-09-20,"Austin, TX",0,Bachelors,Operations,H-1B
C-bktcv1l,2025-07-17,"Seattle, WA",4,Masters,Finance,US Citizen/PR
C-idub9rb,2025-09-15,"Austin, TX",4,PhD,Data Analytics,H-1B
C-18slome,2026-01-14,"Chicago, IL",11,Bachelors,Operations,Other/Unknown
C-6ss1a2r,2026-01-02,"Remote, US",1,Bachelors,Operations,F-1 OPT
C-fq5dz53,2024-01-21,"Chicago, IL",0,Masters,HR,F-1 OPT
C-9s9vs1q,2025-07-07,"Fremont, CA",2,PhD,Operations,H-1B
C-w7bzyi9,2024-05-08,"Seattle, WA",9,Bachelors,Software Engineering,Other/Unknown
C-da1l526,2024-05-09,"New York, NY",0,Bachelors,Sales,H-1B
C-gkcumcz,2024-01-10,"New York, NY",3,PhD,Sales,H-1B
C-1p778rn,2024-08-29,"Palo Alto, CA",13,Bootcamp,Sales,F-1 OPT
C-pswldoq,2025-12-26,"Chicago, IL",2,Bachelors,Supply Chain,US Citizen/PR
C-0i3a4kf,2024-07-18,"New York, NY",6,Bachelors,Software Engineering,Other/Unknown
C-5ymqt3d,2024-06-21,"Fremont, CA",3,Bachelors,Sales,Other/Unknown
C-hll9rzr,2025-04-11,"Palo Alto, CA",2,Bootcamp,Data Analytics,F-1 OPT
C-8fhu91c,2024-07-18,"Remote, US",4,PhD,HR,Other/Unknown
C-9hha1pj,2025-05-19,"Fremont, CA",8,Bachelors,Software Engineering,US Citizen/PR
C-jc5qph6,2025-03-10,"Fremont, CA",9,Bachelors,Data Analytics,Other/Unknown
C-m1fmpry,2025-02-11,"Fremont, CA",0,Bootcamp,Operations,Other/Unknown
C-3u6h0uf,2024-12-31,"Chicago, IL",5,PhD,Data Analytics,F-1 OPT
C-67rl2yj,2024-08-15,"Chicago, IL",9,Bachelors,Sales,F-1 OPT
C-wxub0gz,2025-01-25,"Remote, US",2,Masters,Supply Chain,Other/Unknown
C-hhgy8nn,2025-05-13,"Palo Alto, CA",3,PhD,Supply Chain,US Citizen/PR
C-zxqomts,2024-09-17,"Remote, US",3,PhD,Data Analytics,F-1 OPT
C-qntfpkx,2024-12-15,"Chicago, IL",1,Bootcamp,Finance,H-1B
C-z76dd4d,2025-01-02,"Austin, TX",4,Associate,Sales,US Citizen/PR
C-r17dpub,2024-08-07,"Palo Alto, CA",5,Bootcamp,Software Engineering,F-1 OPT
C-1te48m2,2024-12-25,"New York, NY",5,Bootcamp,HR,Other/Unknown
C-anik5j4,2024-11-24,"Remote, US",0,Bootcamp,Finance,F-1 OPT
C-a6ba24s,2025-07-14,"Chicago, IL",2,Associate,Operations,H-1B
C-gupuowo,2025-01-16,"Austin, TX",4,Associate,Sales,F-1 OPT
C-7o0olfi,2024-08-04,"Chicago, IL",4,Masters,Supply Chain,US Citizen/PR
C-w24wjt8,2025-01-12,"Fremont, CA",8,Bachelors,Data Analytics,US Citizen/PR
C-pwvbz7c,2024-05-28,"New York, NY",4,Bachelors,Finance,F-1 OPT
C-9w1gxhg,2025-11-06,"Remote, US",10,Masters,Finance,Other/Unknown
C-1xj7wwu,2024-12-16,"Austin, TX",12,Bachelors,Sales,US Citizen/PR
C-dk6drn4,2024-10-14,"New York, NY",0,Bachelors,Sales,US Citizen/PR
C-orwhp6w,2025-06-05,"New York, NY",6,Masters,Software Engineering,H-1B
C-aguvb99,2024-09-29,"New York, NY",0,Associate,Supply Chain,US Citizen/PR
C-f07gbas,2024-05-03,"Fremont, CA",0,Masters,HR,H-1B
C-ehlh07j,2025-09-17,"New York, NY",4,Masters,Data Analytics,H-1B
C-zxq3p87,2025-11-16,"Palo Alto, CA",3,Masters,Software Engineering,H-1B
C-8d2vfhz,2024-04-22,"New York, NY",0,Bootcamp,Sales,H-1B
C-3wvpunw,2025-06-27,"Austin, TX",8,Bootcamp,Software Engineering,US Citizen/PR
C-8jov58t,2024-08-09,"New York, NY",4,Bachelors,Data Analytics,F-1 OPT
C-3pgihnf,2025-01-31,"Palo Alto, CA",6,Bachelors,Data Analytics,H-1B
C-yzhulic,2025-10-22,"Palo Alto, CA",0,Associate,Software Engineering,F-1 OPT
C-dkv54c6,2026-01-05,"New York, NY",5,Bootcamp,Operations,H-1B
C-hbrbjeq,2024-07-21,"Seattle, WA",9,PhD,Supply Chain,Other/Unknown
C-iaa2uaq,2024-12-10,"Fremont, CA",1,Bootcamp,Data Analytics,US Citizen/PR
C-maq3okl,2025-06-17,"Palo Alto, CA",11,Bootcamp,Data Analytics,H-1B
C-rbk9rx6,2025-06-24,"Remote, US",6,PhD,Supply Chain,US Citizen/PR
C-bbadlyp,2024-07-31,"Fremont, CA",8,Bachelors,Software Engineering,H-1B
C-3tayb5b,2025-08-29,"Austin, TX",7,PhD,Data Analytics,H-1B
C-lw3jgeq,2025-04-07,"Fremont, CA",9,PhD,HR,F-1 OPT
C-158oqes,2025-04-05,"Seattle, WA",5,Bootcamp,Finance,Other/Unknown
C-9l0ijkc,2024-10-04,"Seattle, WA",14,Masters,Finance,F-1 OPT
C-zcrhyqn,2025-11-26,"New York, NY",9,Bachelors,Operations,F-1 OPT
C-31sl7zx,2025-05-29,"Remote, US",7,Associate,Data Analytics,F-1 OPT
C-hn95s2g,2025-02-16,"Palo Alto, CA",0,Bootcamp,Software Engineering,H-1B
C-8udqdda,2024-01-30,"New York, NY",6,Masters,Operations,US Citizen/PR
C-rtmetmh,2024-05-07,"New York, NY",8,Associate,Sales,H-1B
C-bjdx0pk,2024-08-16,"New York, NY",4,Masters,Supply Chain,H-1B
C-trpyx8h,2025-10-17,"Austin, TX",0,Bachelors,Supply Chain,H-1B
C-itj5zoo,2025-08-06,"Fremont, CA",8,PhD,Sales,F-1 OPT
C-ghwzkag,2025-03-24,"Chicago, IL",1,Associate,Sales,H-1B
C-4ygyflq,2024-04-13,"Austin, TX",5,Bootcamp,Sales,H-1B
C-a95g1am,2025-05-05,"New York, NY",4,Associate,Data Analytics,Other/Unknown
C-5rbayki,2025-04-17,"Seattle, WA",11,Masters,HR,F-1 OPT
C-1d2mrmt,2024-08-18,"Chicago, IL",6,Bootcamp,Operations,H-1B
C-q3kmsx5,2025-12-31,"Remote, US",2,Associate,Sales,US Citizen/PR
C-jsxfoh9,2024-01-13,"Palo Alto, CA",0,Bootcamp,Data Analytics,F-1 OPT
C-uzphd7n,2025-01-27,"Austin, TX",4,PhD,Finance,Other/Unknown
C-95g6mlv,2025-08-24,"Palo Alto, CA",5,PhD,Software Engineering,US Citizen/PR
C-uz4e2u2,2024-11-09,"Palo Alto, CA",0,PhD,Data Analytics,US Citizen/PR
C-ryqf8wx,2026-01-24,"Palo Alto, CA",0,Bootcamp,Operations,US Citizen/PR
C-2abkvbl,2026-01-04,"New York, NY",7,PhD,Finance,US Citizen/PR
C-be52s8u,2024-04-10,"Austin, TX",3,PhD,Software Engineering,F-1 OPT
C-p7kb7iy,2025-11-28,"New York, NY",1,Bootcamp,Sales,US Citizen/PR
C-67vgp52,2024-01-20,"Fremont, CA",0,Masters,Operations,F-1 OPT
C-ohkk7qg,2025-06-19,"Remote, US",3,Bootcamp,Data Analytics,F-1 OPT
C-sysymmq,2026-01-11,"New York, NY",3,Bootcamp,Data Analytics,US Citizen/PR
C-8p1wkis,2025-04-13,"Fremont, CA",3,Associate,Supply Chain,H-1B
C-b4eyq1s,2024-09-29,"Remote, US",0,Bachelors,Data Analytics,US Citizen/PR
C-j9dv3uy,2024-04-28,"Remote, US",5,Bachelors,Data Analytics,US Citizen/PR
C-zsu8e6x,2025-05-29,"Fremont, CA",9,PhD,Finance,H-1B
C-z73whcf,2025-12-28,"Austin, TX",4,Associate,Data Analytics,F-1 OPT
C-hr3pceo,2025-05-14,"Fremont, CA",3,Masters,HR,H-1B
C-3y4wpwg,2025-06-19,"Remote, US",9,Masters,Software Engineering,F-1 OPT
C-rky8ryo,2024-06-07,"Chicago, IL",7,Bachelors,Sales,Other/Unknown
C-3fkeoub,2024-07-06,"Chicago, IL",4,Associate,Sales,US Citizen/PR
C-6mf5qaf,2024-07-29,"Seattle, WA",10,Associate,Software Engineering,H-1B
C-6ssgfxu,2025-02-09,"New York, NY",9,Masters,Operations,H-1B
C-7c4r8vg,2024-11-09,"Chicago, IL",8,Associate,HR,H-1B
C-el8mwob,2024-04-26,"Remote, US",5,Masters,Software Engineering,US Citizen/PR
C-xryli17,2025-03-07,"Remote, US",10,Masters,Data Analytics,F-1 OPT
C-0n97cjb,2025-11-15,"Chicago, IL",3,Bachelors,Sales,H-1B
C-v47lzn9,2024-07-01,"Seattle, WA",1,Associate,Software Engineering,F-1 OPT
C-jpkhf33,2025-04-25,"Fremont, CA",4,Bachelors,Supply Chain,US Citizen/PR
C-wyh36mo,2025-04-20,"Seattle, WA",4,Bachelors,Operations,F-1 OPT
C-y80tgh3,2024-10-29,"Seattle, WA",0,PhD,Operations,F-1 OPT
C-2pw5ues,2024-09-16,"Austin, TX",12,Bachelors,Sales,F-1 OPT
C-bta3k3o,2025-10-21,"Palo Alto, CA",3,Bachelors,HR,F-1 OPT
C-8cu47so,2025-12-10,"Austin, TX",6,Associate,Finance,US Citizen/PR
C-u79xbph,2025-07-12,"Remote, US",3,Bachelors,Software Engineering,F-1 OPT
C-t07x5ic,2024-05-16,"Seattle, WA",9,Associate,Finance,US Citizen/PR
C-mco075r,2025-08-24,"Fremont, CA",0,PhD,Finance,US Citizen/PR
C-drimr25,2025-07-26,"Fremont, CA",6,Bachelors,Data Analytics,US Citizen/PR
C-13t4y0t,2024-05-17,"Austin, TX",5,Bootcamp,HR,Other/Unknown
C-zppep69,2025-07-16,"Palo Alto, CA",0,PhD,Software Engineering,H-1B
C-pcivi05,2026-01-26,"Remote, US",2,Associate,Supply Chain,US Citizen/PR
C-9az3ceg,2024-02-18,"Austin, TX",0,PhD,Operations,F-1 OPT
C-9eoxxc7,2024-03-14,"Fremont, CA",5,Bootcamp,Finance,H-1B
C-64pknt5,2025-08-24,"Fremont, CA",6,Associate,Operations,H-1B
C-zsb6zwk,2024-09-16,"Fremont, CA",5,Masters,HR,F-1 OPT
C-kte02bi,2025-09-03,"New York, NY",5,Bootcamp,Data Analytics,US Citizen/PR
C-rbkn3dk,2024-06-30,"Seattle, WA",3,Bootcamp,Sales,US Citizen/PR
C-5nbhgpb,2025-07-22,"Palo Alto, CA",3,Bachelors,Supply Chain,H-1B
C-761m3j1,2025-06-26,"Fremont, CA",4,Bachelors,Operations,Other/Unknown
C-52713t8,2025-12-25,"Chicago, IL",8,PhD,HR,Other/Unknown
C-pz1j8q9,2025-02-11,"Fremont, CA",4,Masters,Data Analytics,H-1B
C-28ditmo,2024-08-07,"Seattle, WA",4,PhD,Operations,H-1B
C-x23veul,2024-06-11,"Palo Alto, CA",8,Masters,Sales,Other/Unknown
C-aabmwuo,2025-02-03,"Seattle, WA",2,Bachelors,Operations,H-1B
C-8pj2jri,2024-06-30,"Fremont, CA",9,Masters,HR,US Citizen/PR
C-ixgsplt,2025-08-04,"Fremont, CA",4,Bachelors,Finance,H-1B
C-9a44tbi,2025-07-09,"Austin, TX",5,Bachelors,Supply Chain,Other/Unknown
C-echu3yc,2025-09-10,"New York, NY",4,PhD,Software Engineering,US Citizen/PR
C-l2moxq9,2025-08-18,"Seattle, WA",9,Bachelors,Software Engineering,H-1B
C-b76av3s,2025-06-16,"Remote, US",13,Associate,HR,H-1B
C-7nuxf1x,2024-07-14,"Austin, TX",9,Masters,Supply Chain,Other/Unknown
C-te52vxs,2024-03-10,"Palo Alto, CA",2,PhD,Software Engineering,H-1B
C-6l29il9,2025-09-30,"Chicago, IL",8,Masters,Sales,Other/Unknown
C-nms6xvq,2024-07-21,"New York, NY",1,Masters,Supply Chain,F-1 OPT
C-7i6yxv2,2024-05-27,"Palo Alto, CA",9,PhD,Data Analytics,US Citizen/PR
C-osfr5hg,2024-05-21,"New York, NY",3,Bachelors,Software Engineering,US Citizen/PR
C-p1zqd54,2024-11-08,"Austin, TX",6,Masters,Data Analytics,F-1 OPT
C-stnpezi,2025-08-03,"Palo Alto, CA",4,Bachelors,Operations,H-1B
C-vw9b0mq,2024-05-10,"New York, NY",1,Bootcamp,Finance,Other/Unknown
C-kreg167,2024-10-31,"Austin, TX",7,Masters,Data Analytics,H-1B
C-yqlg0k1,2025-01-05,"Fremont, CA",5,PhD,Sales,H-1B
C-bsss7kn,2025-03-20,"Remote, US",6,Masters,Software Engineering,US Citizen/PR
C-309hsuw,2025-02-28,"Austin, TX",1,PhD,Operations,F-1 OPT
C-ejp5k79,2025-08-20,"Remote, US",4,Bachelors,Software Engineering,H-1B
C-fh41a68,2024-10-15,"Seattle, WA",0,Associate,HR,F-1 OPT
C-a3ah7u0,2024-12-19,"Seattle, WA",5,Masters,HR,Other/Unknown
C-kdz4ppj,2024-01-28,"Remote, US",3,Masters,Operations,US Citizen/PR
C-820icfm,2025-08-20,"New York, NY",5,Associate,Finance,US Citizen/PR
C-zl7p72l,2024-06-25,"Remote, US",1,Associate,Finance,US Citizen/PR
C-8wiv5hh,2024-07-16,"New York, NY",5,Masters,Sales,F-1 OPT
C-0kh5840,2025-09-01,"Austin, TX",0,Bootcamp,Data Analytics,Other/Unknown
C-uhgpjnv,2025-05-28,"Chicago, IL",4,PhD,Sales,F-1 OPT
C-545yrwv,2024-01-22,"Seattle, WA",6,Bootcamp,Operations,US Citizen/PR
C-h861pqi,2024-04-07,"New York, NY",8,Bachelors,Software Engineering,Other/Unknown
C-8xmoe54,2024-05-23,"Remote, US",12,Bootcamp,Supply Chain,Other/Unknown
C-ybjh4ou,2024-03-26,"Palo Alto, CA",0,PhD,Finance,H-1B
C-o3pjbrh,2025-08-10,"Chicago, IL",5,Bachelors,Operations,Other/Unknown
C-oufhw8w,2025-07-24,"Palo Alto, CA",2,Masters,Supply Chain,US Citizen/PR
C-8an2lm1,2025-10-11,"Austin, TX",0,Bachelors,Supply Chain,F-1 OPT
C-nhft4i2,2024-10-03,"Palo Alto, CA",4,PhD,Sales,F-1 OPT
C-tia41ss,2025-06-15,"Remote, US",11,Bootcamp,Data Analytics,F-1 OPT
C-kawyb03,2024-08-01,"New York, NY",6,Bootcamp,Software Engineering,H-1B
C-5csz0a0,2025-10-16,"Seattle, WA",6,Associate,Software Engineering,US Citizen/PR
C-02gvlls,2025-12-26,"Austin, TX",3,PhD,Operations,Other/Unknown
C-hjxqkd8,2025-09-19,"Seattle, WA",3,PhD,Sales,H-1B
C-6tiaron,2025-11-10,"Seattle, WA",7,Bachelors,Sales,F-1 OPT
C-ua1qrdl,2024-02-27,"Fremont, CA",6,Bachelors,Data Analytics,F-1 OPT
C-h7vdo4s,2024-03-06,"Remote, US",11,Associate,HR,F-1 OPT
C-cro04by,2026-01-29,"Seattle, WA",8,Bootcamp,HR,US Citizen/PR
C-jhurr8i,2024-04-06,"New York, NY",4,Bootcamp,Supply Chain,US Citizen/PR
C-7pcease,2025-07-07,"Fremont, CA",1,Bootcamp,HR,US Citizen/PR
C-bpg2r0t,2025-03-11,"New York, NY",4,Bachelors,Operations,US Citizen/PR
C-pk7yswn,2025-08-23,"Chicago, IL",1,Masters,Software Engineering,H-1B
C-shwzsjq,2025-12-09,"Palo Alto, CA",4,Masters,Software Engineering,Other/Unknown
C-aofc9lg,2024-11-02,"Chicago, IL",2,Bachelors,Supply Chain,Other/Unknown
C-lcqfmui,2024-01-08,"Chicago, IL",2,Bachelors,Software Engineering,H-1B
C-k6p0n17,2025-05-22,"Seattle, WA",6,Associate,Finance,F-1 OPT
C-cf0kjd2,2025-08-19,"Seattle, WA",10,Bootcamp,Operations,H-1B
C-80w6hai,2024-03-12,"Fremont, CA",3,Bachelors,HR,F-1 OPT
C-frac8e3,2024-08-25,"New York, NY",10,Bootcamp,Operations,H-1B
C-seunnrl,2024-04-13,"Seattle, WA",0,PhD,Supply Chain,US Citizen/PR
C-54884z4,2025-03-29,"Seattle, WA",9,Bootcamp,Sales,H-1B
C-yupmanq,2024-09-24,"Chicago, IL",6,PhD,Finance,Other/Unknown
C-hu97ng0,2024-09-15,"Austin, TX",0,Masters,Sales,H-1B
C-saldnj7,2024-10-09,"Seattle, WA",3,PhD,Data Analytics,H-1B
C-xo9zjcu,2025-06-03,"Austin, TX",3,Bootcamp,Supply Chain,Other/Unknown
C-rr513bb,2025-09-04,"Chicago, IL",8,Masters,Finance,F-1 OPT
C-5ep4cwc,2025-09-04,"Austin, TX",7,Associate,Operations,F-1 OPT
C-x0ly66g,2024-09-16,"Seattle, WA",1,PhD,Supply Chain,US Citizen/PR
C-7o4yc3s,2024-05-08,"Chicago, IL",9,PhD,Data Analytics,F-1 OPT
C-pjhsg04,2025-07-28,"Austin, TX",0,PhD,Operations,H-1B
C-eq4d7d7,2025-10-31,"Fremont, CA",4,Bachelors,Software Engineering,H-1B
C-v812hnc,2024-09-25,"Chicago, IL",6,Masters,Operations,F-1 OPT
C-00lnkku,2024-05-10,"New York, NY",1,Masters,HR,F-1 OPT
C-jh9jpdm,2024-12-18,"Palo Alto, CA",2,PhD,HR,Other/Unknown
C-3yg8vfu,2024-08-14,"Chicago, IL",0,Bootcamp,Operations,H-1B
C-hzs32d1,2025-12-01,"Palo Alto, CA",0,Masters,Sales,H-1B
C-bexgfvn,2025-04-30,"New York, NY",0,Associate,Data Analytics,H-1B
C-zw5apmx,2025-03-09,"Austin, TX",6,Masters,Operations,H-1B
C-ft1pwvz,2025-01-11,"Chicago, IL",3,Bootcamp,Sales,F-1 OPT
C-jnmyk85,2025-01-29,"Remote, US",6,Associate,Data Analytics,Other/Unknown
C-pjuvffk,2025-04-01,"Seattle, WA",7,Associate,Software Engineering,F-1 OPT
C-el88l12,2025-12-25,"New York, NY",7,Bootcamp,Software Engineering,Other/Unknown
C-af5kcih,2025-08-10,"Austin, TX",2,Masters,Software Engineering,H-1B
C-afdtohr,2025-04-20,"New York, NY",0,Bootcamp,Finance,F-1 OPT
C-1de1e16,2024-06-04,"Remote, US",5,Bootcamp,Supply Chain,Other/Unknown
C-tmy8a5g,2026-01-29,"Fremont, CA",5,PhD,Operations,H-1B
C-savocir,2025-11-05,"Austin, TX",3,Masters,Operations,Other/Unknown
C-dngflyr,2025-11-22,"Palo Alto, CA",5,Bootcamp,Software Engineering,F-1 OPT
C-osd3m0x,2024-12-03,"New York, NY",6,Bachelors,Software Engineering,H-1B
C-esyaxyp,2024-11-09,"Austin, TX",0,PhD,Sales,H-1B
C-0e36s2z,2025-10-23,"Remote, US",13,Associate,Operations,US Citizen/PR
C-29tnyfm,2024-09-29,"Chicago, IL",4,Associate,Operations,F-1 OPT
C-sw5pqb5,2024-10-15,"New York, NY",9,PhD,Data Analytics,H-1B
C-jmk3tgm,2025-12-24,"Austin, TX",3,Bootcamp,Operations,H-1B
C-wvmb0id,2025-04-27,"Austin, TX",6,Masters,Finance,F-1 OPT
C-wpj8yi3,2024-09-04,"Remote, US",3,Associate,Supply Chain,Other/Unknown
C-blbv03d,2026-01-28,"Seattle, WA",7,Bachelors,Operations,H-1B
C-pa8jx54,2025-10-01,"New York, NY",10,Bachelors,HR,F-1 OPT
C-u9wt2yb,2024-05-22,"Seattle, WA",9,Bootcamp,Software Engineering,Other/Unknown
C-jygsbog,2024-07-09,"Palo Alto, CA",10,PhD,Data Analytics,Other/Unknown
C-h2xjq2w,2025-04-04,"Austin, TX",2,Masters,Software Engineering,US Citizen/PR
C-zhw0vqp,2025-02-04,"Seattle, WA",7,PhD,Supply Chain,Other/Unknown
C-ruml3f4,2024-07-25,"New York, NY",7,Masters,Supply Chain,F-1 OPT
C-yjb48wu,2024-07-28,"Palo Alto, CA",8,Bachelors,Software Engineering,H-1B
C-k1qqfvw,2024-08-06,"Seattle, WA",6,Bootcamp,Sales,US Citizen/PR
C-1k09ntn,2025-02-10,"Remote, US",3,Bachelors,Data Analytics,Other/Unknown
C-h9ugf10,2025-07-11,"New York, NY",0,Associate,Sales,H-1B
C-1pvlnd5,2025-07-03,"Chicago, IL",2,PhD,Supply Chain,Other/Unknown
C-io1k7f5,2025-12-02,"New York, NY",0,PhD,Data Analytics,H-1B
C-1xydupp,2025-06-30,"Fremont, CA",10,Bachelors,Supply Chain,F-1 OPT
C-ew9v08l,2025-05-21,"Fremont, CA",3,Masters,Supply Chain,Other/Unknown
C-y8av2os,2025-08-18,"Fremont, CA",4,Masters,Sales,H-1B
C-0iqzhec,2024-09-26,"Austin, TX",3,Masters,Supply Chain,Other/Unknown
C-qypigqx,2024-06-02,"Remote, US",7,Associate,HR,H-1B
C-56izc0y,2024-10-10,"New York, NY",8,Associate,Sales,Other/Unknown
C-cpjze1x,2024-06-21,"Seattle, WA",8,Bachelors,Sales,Other/Unknown
C-3c330bo,2025-05-22,"Seattle, WA",2,Bootcamp,Sales,US Citizen/PR
C-d41u2zn,2025-02-01,"Chicago, IL",3,PhD,Software Engineering,F-1 OPT
C-2hdxc6r,2025-11-06,"Fremont, CA",3,PhD,Operations,H-1B
