offer_id,application_id,candidate_id,req_id,offered_at,offer_status,comp_band
OFF-sjbhcp0,APP-3skwof2s,C-trc85eh,REQ-dpyta7,2026-02-15T00:00:00,Accepted,Band 2
OFF-b7zy05m,APP-nlctouy4,C-5yyexhp,REQ-glrhhk,2025-02-28T00:00:00,Accepted,Band 3
OFF-70lzexe,APP-xtlx06y9,C-5038hvq,REQ-2gk9jy,2024-05-01T00:00:00,Accepted,Band 2
OFF-fjtx9x1,APP-kstk59xh,C-xop63ct,REQ-jucfhh,2024-11-10T00:00:00,Declined,Band 1
OFF-4887rg8,APP-p4gbx4tv,C-pbrtg6c,REQ-tqeaeq,2024-10-13T00:00:00,Declined,Band 3
OFF-exw778n,APP-sf64adk2,C-rwb2ser,REQ-6ljxe6,2026-01-29T00:00:00,Accepted,Band 1
OFF-msz0k26,APP-77sxgv81,C-t2md8w1,REQ-yyzu05,2025-04-17T00:00:00,Accepted,Band 3
OFF-kpza2qc,APP-c923lurz,C-963zs76,REQ-dv8i96,2025-03-11T00:00:00,Accepted,Band 3
OFF-x68svor,APP-ictbusar,C-usjxbcw,REQ-xr2cs1,2024-12-17T00:00:00,Accepted,Band 1
OFF-2xl5zp2,APP-ln7xhguo,C-xzvo527,REQ-mdcv7a,2025-01-22T00:00:00,Accepted,Band 1
OFF-4hzthjb,APP-51m922rf,C-wetowtk,REQ-230jns,2025-04-26T00:00:00,Accepted,Band 3
OFF-f2er1sj,APP-akk70oz3,C-m6s0ziu,REQ-57ote0,2025-08-06T00:00:00,Accepted,Band 2
OFF-bh2v1ga,APP-yibivr1x,C-5zwuot8,REQ-amslsl,2025-12-08T00:00:00,Declined,Band 1
OFF-giohmgl,APP-dhadeqvz,C-2j7q4kf,REQ-h5u3vv,2024-02-03T00:00:00,Accepted,Band 3
OFF-mpgj5s5,APP-98melqzt,C-0amts7y,REQ-nlupya,2025-03-29T00:00:00,Accepted,Band 1
OFF-ocx3pja,APP-kacdnrwr,C-h4fz8ob,REQ-93rc1y,2026-02-03T00:00:00,Declined,Band 1
OFF-q3k95hs,APP-1nmt3zww,C-yzr6qce,REQ-fns88m,2025-11-11T00:00:00,Accepted,Band 2
OFF-580poih,APP-f1ebz7eu,C-963zs76,REQ-zhh6c6,2024-05-21T00:00:00,Declined,Band 2
OFF-0ck0y05,APP-2as894f7,C-cozroou,REQ-dmcs6m,2025-04-12T00:00:00,Accepted,Band 2
OFF-2ilqig4,APP-n2er2fcu,C-mcmh7lm,REQ-x8xijp,2026-01-16T00:00:00,Accepted,Band 1
OFF-oa01u28,APP-mmoj0pne,C-xunhu25,REQ-xntjw3,2024-08-31T00:00:00,Accepted,Band 2
OFF-2g452in,APP-ugjzgwsp,C-gnbhds2,REQ-a4aakh,2025-09-06T00:00:00,Declined,Band 2
OFF-4pdsv63,APP-ki0b5dja,C-we1ga6s,REQ-zacfax,2024-09-16T00:00:00,Accepted,Band 3
OFF-z66ummv,APP-05oul9vz,C-6xlpu0d,REQ-xr2cs1,2024-03-02T00:00:00,Declined,Band 2
OFF-zu6fu47,APP-3v0jbukx,C-vqr2c23,REQ-wxqwlq,2025-03-11T00:00:00,Accepted,Band 2
OFF-ai3rp9e,APP-wt0nemlj,C-2c4xn98,REQ-w8do3p,2025-08-26T00:00:00,Accepted,Band 1
OFF-hhc3gai,APP-ppvqly3i,C-cdyk0x6,REQ-dcgv7m,2025-06-13T00:00:00,Accepted,Band 3
OFF-nq86nd0,APP-0ljd9jsf,C-xylnfxj,REQ-8ta15f,2025-04-24T00:00:00,Accepted,Band 1
OFF-6tvn6jj,APP-hh4kiwri,C-7s151m4,REQ-fpvu2l,2024-06-29T00:00:00,Declined,Band 2
OFF-xfe1zsy,APP-cdsm1o69,C-o4gkwwj,REQ-8sdqw5,2024-07-03T00:00:00,Accepted,Band 3
OFF-jcux5el,APP-c4hwtgq0,C-h1i8yat,REQ-5t27fz,2025-04-12T00:00:00,Accepted,Band 3
OFF-f2poeoj,APP-8tise0lz,C-p25m9fe,REQ-9bmay7,2025-05-10T00:00:00,Accepted,Band 2
OFF-j6lw2z8,APP-n3hk2zhd,C-xkdotrb,REQ-s4xrql,2024-06-20T00:00:00,Accepted,Band 3
OFF-i6i8ts7,APP-n7pt0itj,C-a86477t,REQ-adgs5h,2024-12-21T00:00:00,Accepted,Band 4
OFF-1115y3x,APP-za54jvr7,C-l2moxq9,REQ-v23u65,2025-02-07T00:00:00,Accepted,Band 3
OFF-b1nj9x4,APP-h3qdyy9d,C-taofzd6,REQ-qthrgu,2024-03-21T00:00:00,Accepted,Band 2
OFF-16egsny,APP-q0rdbjm9,C-cpwrutv,REQ-0xh2me,2025-08-14T00:00:00,Accepted,Band 2
OFF-wel2yft,APP-28pug8lv,C-h105osz,REQ-unzu6o,2024-08-26T00:00:00,Accepted,Band 1
OFF-mk0f8jd,APP-ojbmzcts,C-0jv1v93,REQ-kbr9fy,2025-05-04T00:00:00,Accepted,Band 2
OFF-ldib4x7,APP-z5pkf8v8,C-t6trouw,REQ-z4gjhj,2024-05-17T00:00:00,Accepted,Band 1
OFF-qm5o0h6,APP-nfmvp9gw,C-q2dxx60,REQ-ljrnic,2025-02-19T00:00:00,Accepted,Band 2
OFF-4bra86o,APP-daubd4yx,C-9enulqj,REQ-9fyy9v,2024-07-26T00:00:00,Accepted,Band 2
OFF-ggowfla,APP-6vhx0l7r,C-6bp6ojc,REQ-57cnkw,2025-12-30T00:00:00,Accepted,Band 1
OFF-cbsyk9m,APP-gs5zp4g5,C-bos0765,REQ-m5p39v,2024-10-19T00:00:00,Accepted,Band 1
OFF-ka35inw,APP-3xvc1jus,C-aq93fa2,REQ-20c5rl,2026-01-25T00:00:00,Accepted,Band 2
OFF-i5azqcd,APP-0vi6sp4g,C-to5a7qn,REQ-nlupya,2024-05-08T00:00:00,Declined,Band 1
OFF-50xid8j,APP-bqqxt9hy,C-wpaytxw,REQ-adbs9c,2025-07-28T00:00:00,Accepted,Band 2
OFF-66m2wqd,APP-a3ugs2bt,C-1wcgv6l,REQ-yyzu05,2025-09-18T00:00:00,Accepted,Band 4
OFF-27me4qt,APP-i07o8w9h,C-8rl5h3g,REQ-jzae55,2024-04-05T00:00:00,Accepted,Band 3
OFF-2pust8g,APP-aihv67yd,C-oeut4ie,REQ-qsu2ei,2026-01-28T00:00:00,Declined,Band 1
OFF-4gy54bg,APP-muqxln1n,C-wxub0gz,REQ-f8m72z,2024-05-23T00:00:00,Accepted,Band 1
OFF-7z8y1un,APP-xk2e4r6b,C-x9f6f52,REQ-qthrgu,2025-11-24T00:00:00,Declined,Band 2
OFF-4xazpsm,APP-7u71m6ar,C-0v2zp4j,REQ-amslsl,2025-08-23T00:00:00,Declined,Band 2
OFF-5truanh,APP-9ny3ya71,C-uebhk0o,REQ-20c5rl,2024-06-15T00:00:00,Accepted,Band 2
OFF-qae62fa,APP-jhvekmze,C-5hsts68,REQ-pr4tw5,2024-12-31T00:00:00,Accepted,Band 1
OFF-h16ijyl,APP-qufs4adx,C-ryqf8wx,REQ-d6kyb2,2025-04-21T00:00:00,Declined,Band 1
OFF-il119c2,APP-qsg7y02j,C-anaabk9,REQ-20c5rl,2026-01-04T00:00:00,Accepted,Band 1
OFF-qm7adjt,APP-5z0vqoxi,C-ipi7866,REQ-fns88m,2025-08-01T00:00:00,Accepted,Band 2
OFF-bfe4pkd,APP-75dvqywr,C-waceqrq,REQ-9qkjfp,2026-01-07T00:00:00,Declined,Band 3
OFF-l2kpk3t,APP-n1mfyiul,C-emyd8yh,REQ-fnklgi,2024-12-21T00:00:00,Declined,Band 3
OFF-em725a2,APP-vn2t2vcd,C-d4r9v4k,REQ-38m7d5,2024-06-05T00:00:00,Accepted,Band 2
